"Immune.response","Defense.response","Response.to.external.biotic.stimulus"
"SLA2","SPACA5","TNFAIP8"
"SLAMF1","SPAG11A","TNFAIP8L2"
"SLAMF6","SPATA2","TNFRSF1A"
"SLAMF7","SPHK1","TNFRSF1B"
"SLAMF8","SPINK5","TNFRSF11A"
"SLC11A1","SPIRE1","TNFRSF14"
"SLC26A6","SPN","TNFSF4"
"SLC39A10","SPON2","TNFSF8"
"SLC46A2","SSC5D","TNIP1"
"SLPI","STAB1","TNIP2"
"SMAD3","STAB2","TNIP3"
"SMAD6","STAP1","TNNT2"
"SMAD7","STAT1","TOLLIP"
"SMPDL3B","STAT2","TRAF3"
"SNAP23","STAT3","TRAF3IP1"
"SNCA","STAT4","TRAF3IP2"
"SNX4","STAT5A","TRAF6"
"SOCS1","STAT5B","TRAFD1"
"SOCS5","STAT6","TRBC1"
"SP110","STK39","TRBC2"
"SPAG11A","STX4A","TRBV13-3"
"SPAG11B","STX8","TRDC"
"SPHK2","STX11","TRDN"
"SPINK5","STXBP1","TRDV4"
"SPN","STXBP2","TREM1"
"SPNS2","STXBP3","TREM2"
"SPON2","STXBP4","TREM3"
"SPPL2A","SUCNR1","TREML2"
"SPPL2B","SUSD4","TREML4"
"SPPL3","SYK","TREX1"
"SSC5D","SYNCRIP","TRF"
"STAP1","SYT11","TRIB1"
"STAT1","TAAR4","TRIL"
"STAT2","TAC1","TRIM6"
"STAT3","TAC4","TRIM8"
"STAT5A","TAFA3","TRIM10"
"STAT5B","TAGAP","TRIM11"
"STAT6","TAP1","TRIM12A"
"STK11","TAP2","TRIM13"
"STOML2","TAPBP","TRIM14"
"STX4A","TARBP2","TRIM15"
"STX7","TARM1","TRIM21"
"STX8","TBC1D23","TRIM25"
"STX11","TBK1","TRIM26"
"STXBP1","TBKBP1","TRIM27"
"STXBP2","TBXA2R","TRIM28"
"STXBP3","TCIRG1","TRIM29"
"STXBP4","TCRD-V8","TRIM30A"
"SUCNR1","TDGF1","TRIM31"
"SUPT6","TFEB","TRIM32"
"SUSD2","TFF2","TRIM34A"
"SUSD4","TGFB1","TRIM35"
"SWAP70","TGM2","TRIM38"
"SYK","TGTP1","TRIM41"
"SYNCRIP","TGTP2","TRIM44"
"TAC1","THBS1","TRIM56"
"TAC4","THEMIS2","TRIM59"
"TAP1","TICAM1","TRIM62"
"TAP2","TICAM2","TRP53"
"TARM1","TIFA","TRPV4"
"TBK1","TIMP1","TSLP"
"TBKBP1","TIRAP","TSPAN6"
"TBX21","TKFC","TSPAN32"
"TCIM","TLR1","TTC4"
"TCIRG1","TLR2","TTC39AOS1"
"TCRB","TLR3","TTLL12"
"TDGF1","TLR4","TUSC2"
"TEC","TLR5","TUT4"
"TEK","TLR6","TXK"
"TESPA1","TLR7","TYRO3"
"TFE3","TLR8","UBD"
"TFEB","TLR9","UBE2K"
"TFRC","TLR11","UBQLN1"
"TGFB1","TLR12","UFD1"
"TGFB2","TLR13","ULBP1"
"TGFB3","TMEM106A","UNC13B"
"TGFBR3","TMEM173","UNC13D"
"TGTP1","TMF1","UNC93B1"
"THEMIS","TNF","UPF1"
"THEMIS2","TNFAIP3","UPK1B"
"THEMIS3","TNFAIP6","URI1"
"THOC1","TNFAIP8","USP14"
"THY1","TNFAIP8L2","USP18"
"TICAM1","TNFRSF1A","VAMP3"
"TICAM2","TNFRSF1B","VAMP4"
"TIFA","TNFRSF4","VAMP7"
"TINAGL1","TNFRSF11A","VAMP8"
"TIRAP","TNFRSF14","VAV1"
"TKFC","TNFSF4","VDR"
"TLR1","TNFSF8","VEGFD"
"TLR2","TNFSF11","VGF"
"TLR3","TNFSF18","VIL1"
"TLR4","TNIP1","VIM"
"TLR5","TNIP2","VIP"
"TLR6","TNIP3","VNN1"
"TLR7","TOLLIP","VPS26B"
"TLR8","TPSB2","VSIG4"
"TLR9","TRADD","VTCN1"
"TLR11","TRAF3","WAS"
"TLR12","TRAF3IP1","WASL"
"TLR13","TRAF3IP2","WDFY1"
"TMEM98","TRAFD1","WFDC6A"
"TMEM106A","TRBC1","WFDC12"
"TMEM173","TRBC2","WFDC15A"
"TNF","TRDC","WFDC15B"
"TNFAIP3","TRDV4","WFDC21"
"TNFAIP8L2","TREM1","WIPF1"
"TNFRSF1B","TREM2","WIPI2"
"TNFRSF11A","TREM3","WNT5A"
"TNFRSF13B","TREML2","WRNIP1"
"TNFRSF13C","TREML4","XBP1"
"TNFRSF14","TREX1","XCL1"
"TNFRSF17","TRIL","XPR1"
"TNFRSF21","TRIM6","XRCC5"
"TNFSF4","TRIM8","XRCC6"
"TNFSF8","TRIM10","YTHDF2"
"TNFSF9","TRIM11","YTHDF3"
"TNFSF10","TRIM12A","ZBP1"
"TNFSF11","TRIM13","ZBTB1"
"TNFSF12","TRIM14","ZC3H12A"
"TNFSF13","TRIM15","ZC3HAV1"
"TNFSF13B","TRIM21","ZCCHC3"
"TNFSF14","TRIM25","ZFP36"
"TNFSF15","TRIM26","ZFP683"
"TNFSF18","TRIM27","ZFP709"
"TNIP1","TRIM28","ZFP809"
"TNIP2","TRIM29","ZFP983"
"TNIP3","TRIM30A","ZMPSTE24"
"TOLLIP","TRIM31","ZMYND11"
"TRAF2","TRIM32","ZYX"
"TRAF3","TRIM34A",NA
"TRAF3IP2","TRIM35",NA
"TRAF6","TRIM38",NA
"TRAFD1","TRIM44",NA
"TRAT1","TRIM56",NA
"TRAV6-1","TRIM59",NA
"TRAV6-2","TRIM62",NA
"TRAV6-3","TRP53",NA
"TRAV6-4","TRP73",NA
"TRAV6-5","TRPV1",NA
"TRAV6-7-DV9","TRPV4",NA
"TRAV6D-3","TSLP",NA
"TRAV6D-4","TSPAN2",NA
"TRAV6D-5","TSPAN6",NA
"TRAV6D-6","TSPAN32",NA
"TRAV6D-7","TTBK1",NA
"TRAV6N-5","TTC4",NA
"TRAV6N-6","TTC39AOS1",NA
"TRAV6N-7","TTLL12",NA
"TRAV12-1","TUSC2",NA
"TRAV12-2","TXK",NA
"TRAV12-3","TYRO3",NA
"TRAV12D-1","TYROBP",NA
"TRAV12D-2","UACA",NA
"TRAV12N-3","UBD",NA
"TRAV15-1-DV6-1","UBE2K",NA
"TRAV15-2-DV6-2","UBQLN1",NA
"TRAV15D-1-DV6D-1","UCN",NA
"TRAV15N-2","UFD1",NA
"TRAV16","ULBP1",NA
"TRAV16D-DV11","ULK4",NA
"TRAV16N","UNC13B",NA
"TRBC1","UNC13D",NA
"TRBC2","UNC93B1",NA
"TRDC","USP14",NA
"TRDV2-1","USP18",NA
"TRDV2-2","USP46",NA
"TRDV4","VAMP3",NA
"TRDV5","VAMP4",NA
"TREM1","VAMP7",NA
"TREM2","VAMP8",NA
"TREM3","VAV1",NA
"TREML2","VDAC1",NA
"TREML4","VDAC3",NA
"TREX1","VGF",NA
"TRGV1","VIM",NA
"TRIL","VIP",NA
"TRIM6","VNN1",NA
"TRIM8","VPS26B",NA
"TRIM10","VPS35",NA
"TRIM11","VSIG4",NA
"TRIM12A","WAS",NA
"TRIM13","WDFY1",NA
"TRIM14","WFDC1",NA
"TRIM15","WFDC6A",NA
"TRIM21","WFDC12",NA
"TRIM25","WFDC15A",NA
"TRIM26","WFDC15B",NA
"TRIM27","WIPI2",NA
"TRIM28","WNT5A",NA
"TRIM29","WRNIP1",NA
"TRIM30A","XCL1",NA
"TRIM31","XRCC5",NA
"TRIM32","XRCC6",NA
"TRIM35","YTHDF2",NA
"TRIM56","YTHDF3",NA
"TRIM59","YWHAZ",NA
"TRIM62","ZBP1",NA
"TRP53","ZBTB1",NA
"TRP53BP1","ZC3H12A",NA
"TRPM4","ZC3HAV1",NA
"TSC1","ZCCHC3",NA
"TSLP","ZFP35",NA
"TSPAN6","ZFP36",NA
"TSTA3","ZFP580",NA
"TTC4","ZFP683",NA
"TTLL12","ZFP809",NA
"TXK","ZMPSTE24",NA
"TYRO3","ZMYND11",NA
"TYROBP","ZP3",NA
"UBASH3A","ZYX",NA
"UBD",NA,NA
"UBE2K",NA,NA
"UBE2N",NA,NA
"UBQLN1",NA,NA
"UFD1",NA,NA
"ULBP1",NA,NA
"UNC13D",NA,NA
"UNC93B1",NA,NA
"UNG",NA,NA
"USP9X",NA,NA
"USP12",NA,NA
"USP14",NA,NA
"USP46",NA,NA
"VAMP2",NA,NA
"VAMP3",NA,NA
"VAMP4",NA,NA
"VAMP7",NA,NA
"VAMP8",NA,NA
"VAV1",NA,NA
"VAV3",NA,NA
"VEGFA",NA,NA
"VIM",NA,NA
"VIP",NA,NA
"VNN1",NA,NA
"VPREB1",NA,NA
"VPREB2",NA,NA
"VPREB3",NA,NA
"VPS26B",NA,NA
"VSIG4",NA,NA
"VSIR",NA,NA
"VTCN1",NA,NA
"VTN",NA,NA
"WAS",NA,NA
"WASHC1",NA,NA
"WDFY1",NA,NA
"WNK1",NA,NA
"WNT5A",NA,NA
"WRNIP1",NA,NA
"XBP1",NA,NA
"XCL1",NA,NA
"XCR1",NA,NA
"XRCC4",NA,NA
"XRCC5",NA,NA
"XRCC6",NA,NA
"YTHDF2",NA,NA
"YTHDF3",NA,NA
"YWHAZ",NA,NA
"ZAP70",NA,NA
"ZBP1",NA,NA
"ZBTB1",NA,NA
"ZBTB7B",NA,NA
"ZC3H12A",NA,NA
"ZC3HAV1",NA,NA
"ZCCHC3",NA,NA
"ZFP35",NA,NA
"ZFP683",NA,NA
"ZFP809",NA,NA
"ZP3",NA,NA
"ZYX",NA,NA
